ARMA_MAT_TXT_FN008
15 3
  -6.964168204203e-03   1.183933579202e-01   2.951447403953e-04
   1.592677574634e-02   1.340534076698e-03  -1.663387825024e-01
  -1.640992409167e-01   3.731747912058e-03  -1.568146362974e-02
   3.175551695606e-03   7.437902477551e-02   8.703319903485e-04
  -3.125720012484e-02  -8.012723104087e-03   3.131112296600e-04
  -7.714138299614e-01   1.088809584557e+00  -6.550632839822e-02
   3.811330838976e-01   3.408671917989e-02  -3.980190763786e+00
  -3.673613992615e+00   6.165299387035e-01  -3.467397359361e-01
   1.800896724471e-02  -1.579595010067e+00  -1.078106124513e-02
  -2.995290639745e-01  -5.644032410732e-01   3.596461134243e-02
   2.020765692421e-01   2.801080314384e-01   1.337905814999e-01
   5.160510845028e-02   1.763334157973e-03  -5.520176586149e-01
  -5.548993547081e-01   3.145839985709e-01  -3.546103397195e-01
  -1.957924043872e-01   3.228173688389e-01  -1.098429567654e-01
  -8.200430607670e-01  -1.127672322012e+00  -1.230871139284e-01
