ARMA_MAT_TXT_FN008
15 3
  -1.695426946470e-02   2.882286633741e-01   7.185299540485e-04
   4.001894962906e-02   3.368338108469e-03  -4.179567455675e-01
  -4.166173959795e-01   9.474212609934e-03  -3.981231421959e-02
   9.276212807738e-03   2.172711164502e-01   2.542356582331e-03
  -9.501689300992e-02  -2.435739768304e-02   9.518080982938e-04
  -2.887288280403e-01   4.075253814465e-01  -2.451805333667e-02
   1.724507788804e-01   1.542317243084e-02  -1.800911614096e+00
  -1.758186694053e+00   2.950703957719e-01  -1.659491691963e-01
   1.550426613377e-02  -1.359903712793e+00  -9.281622898065e-03
  -2.934262086130e-01  -5.529036179644e-01   3.523183830785e-02
   1.418508794019e-01   1.966263121751e-01   9.391643827202e-02
   4.025969426641e-02   1.375664080968e-03  -4.306562437885e-01
  -4.474039067768e-01   2.536425908156e-01  -2.859150042757e-01
  -2.327188430226e-01   3.837007100399e-01  -1.305593334564e-01
  -1.072047126643e+00  -1.474212673024e+00  -1.609125095093e-01
