ARMA_MAT_TXT_FN008
15 3
   4.104447867114e-03   1.219492210610e-01   3.302621706799e-03
   1.040286885083e-02   9.649341827628e-04  -1.080621604294e-01
  -1.127485433341e-01  -1.244581648625e-02  -9.479039142818e-03
   1.091520478602e-02   7.546758299635e-02   1.212389351811e-03
  -3.609937697240e-02  -1.243977330979e-02  -1.414334963099e-03
  -1.556438433747e+00   1.967375002945e+00  -8.631390322332e-02
   7.186292575208e-01   6.422152142586e-02  -7.491118734222e+00
  -6.460874790781e+00   9.952214652893e-01  -5.896035517880e-01
  -9.141021047009e-02  -1.525621655035e+00  -2.510083824806e-02
  -2.952259131383e-01  -6.422919526080e-01   6.263413739325e-03
   1.403125934887e-03   5.804292388422e-01   1.344197686321e-01
   1.046115318028e-01   5.032962044540e-03  -1.142796494709e+00
  -4.711972854286e-01   2.142959997962e-01  -3.367107417765e-01
   3.565279989658e-03   2.671172551729e-01  -7.946977834606e-02
  -9.664076077770e-01  -1.194618507953e+00  -1.326314146135e-01
